df,alpha,p_cum,tv_2t,tv_1t
66,0.05,0.95,1.996564419,1.668270514
66,0.1,0.9,1.668270514,1.294510568
66,0.15,0.85,1.45648381,1.044641039
66,0.2,0.8,1.294510568,0.847101262
67,0.0005,0.9995,3.65887627,3.441748943
67,0.001,0.999,3.441748943,3.216385517
67,0.005,0.995,2.902968218,2.651219685
67,0.01,0.99,2.651219685,2.383302488
67,0.025,0.975,2.292891479,1.996008354
67,0.05,0.95,1.996008354,1.667916114
67,0.1,0.9,1.667916114,1.294315197
67,0.15,0.85,1.456227824,1.044517583
67,0.2,0.8,1.294315197,0.84701897
68,0.0005,0.9995,3.656140448,3.439435477
68,0.001,0.999,3.439435477,3.214463196
68,0.005,0.995,2.901513953,2.650081299
68,0.01,0.99,2.650081299,2.382445803
68,0.025,0.975,2.292117968,1.995468931
68,0.05,0.95,1.995468931,1.667572281
68,0.1,0.9,1.667572281,1.294125629
68,0.15,0.85,1.455979454,1.044397786
68,0.2,0.8,1.294125629,0.846939114
69,0.0005,0.9995,3.653487358,3.437191704
69,0.001,0.999,3.437191704,3.212598563
69,0.005,0.995,2.90010311,2.648976774
69,0.01,0.99,2.648976774,2.381614505
69,0.025,0.975,2.291367352,1.994945415
69,0.05,0.95,1.994945415,1.667238549
69,0.1,0.9,1.667238549,1.293941609
69,0.15,0.85,1.455738365,1.044281487
69,0.2,0.8,1.293941609,0.846861585
70,0.0005,0.9995,3.650913306,3.435014521
70,0.001,0.999,3.435014521,3.210789061
70,0.005,0.995,2.898733775,2.647904624
